date,topic,notes
Feb 11 2016,     Let’s make a map with D3,                https://journocoders.hackpad.com/Journocoders-February-2016-uLTUDownohw
January 14 2016, Scraping with Python (episode two),      https://journocoders.hackpad.com/5LIGO67nvn6
Dec 3 2015,      Cleaning data with Open Refine,          https://journocoders.hackpad.com/Journocoders-December-2015-VZjOtCQwRFN
Nov 12 2015,     Exploring networks with Neo4j,           http://journocoders.hackpad.com/Journocoders-November-2015-UULM1iGgm1z
Oct 22 2015,     Building Twitter bots at the Guardian,   http://journocoders.hackpad.com/Journocoders-October-2015-PGXvou7Vcw8
Sep 15 2015,     Data viz with D3,                        http://journocoders.hackpad.com/Journocoders-September-2015-7tUbHuP9KRZ
Aug 10 2015,     Command the command line,                http://journocoders.hackpad.com/Journocoders-August-2015-Ki7LinwFuqM
Jul 16 2015,     Bootstrap,                               https://journocoders.hackpad.com/Journocoders-July-2015-2bcK6eCuRiN
Jun 11 2015,     Git & GitHub,                            https://journocoders.hackpad.com/Journocoders-June-2015-98H3O22kkEj
May 21 2015,     Highcharting the election,               https://journocoders.hackpad.com/Journocoders-May-2015-iw3MPKNWGgS
Apr 9 2015,      APIs at the BBC,                         https://journocoders.hackpad.com/Journocoders-April-2015-gfrQw73yXwr 
Mar 12 2015,     Sending email like Snowden,              https://journocoders.hackpad.com/Journocoders-March-2015-D4cXHh79Wt0
Feb 12 2015,     Mapping with Leaflet,                    https://journocoders.hackpad.com/Journocoders-Feb-2015-H2MnayCtrab
Jan 13 2015,     Scraping with Python,                    https://journocoders.hackpad.com/Journocoders-Jan-2015-1IG04GUoHo3
